id,name,description,created_at,updated_at,mark_id,product_type_id,category_id,image_file_name,image_content_type,image_file_size,image_updated_at,outlet,sale,new_collection,copy_desc,old_price,outlet_price
2749,IRAZU,Bolso tote en eco-piel de la firma CAMINATTA. (A1529082OU). Antes: 64 € - Ahora: 38.40 €,2018-01-27 19:14:26.331136,2018-01-27 19:17:25.428584,17,37,1,DSCF7425.jpg,image/jpeg,64412,2018-01-27 19:14:25.249176,1,,0,,,
2859,MOVE,Mochila en nylon con multi-bolsillos de SAMSONITE  ( 88d050024 ). disponible en negro.,2018-02-09 17:03:18.189421,2018-04-04 16:05:58.48114,3,15,1,DSCF2493.jpg,image/jpeg,59620,2018-02-09 17:03:15.363293,0,,1,,,
2955,JOYRIDE,Malata-trolley cabina en poliester de AMERICAN TUORISTER by Samsonite. (36G001001). Antes: 79 € - Ahora: 55.30 €,2018-03-19 15:31:25.392164,2018-03-19 15:34:59.873989,4,7,3,DSCF7538.jpg,image/jpeg,68067,2018-03-19 15:31:25.004333,1,,0,,,
2844,FREEMONT,Bolso mochila en piel de la firma BIBA ( fre7l ).,2018-02-07 16:14:52.174641,2018-04-04 16:53:06.995347,55,15,1,DSCF2457.jpg,image/jpeg,68857,2018-02-07 16:14:49.263765,0,,1,,,
2752,IRAZU,Bolso bandolera en eco-piel de la firma CAMINATTA. (A1525082OU). Antes: 58 € - Ahora: 34.80 €,2018-01-27 19:34:16.754676,2018-01-27 19:41:58.862707,17,37,1,DSCF7428.jpg,image/jpeg,60904,2018-01-27 19:34:15.596186,1,,0,,,
2699,BREEZE,"Mochila de la firma HEDGREN en fibra con departamento para PC de 15"" y Tablet. (HBPM08). Antes: 69 euros - Ahora: 41.40 euros.",2017-11-03 17:15:37.183241,2018-01-30 19:46:33.968331,26,15,4,DSCF6840.jpg,image/jpeg,59828,2017-11-03 17:15:35.481762,1,,0,,,
2901,MEMPHIS,Bolso bandolera en eco-piel de la firma CAMINATTA. (V515082),2018-03-09 20:08:49.447805,2018-03-09 20:10:28.602542,17,37,1,DSCF7791.jpg,image/jpeg,63672,2018-03-09 20:08:46.94952,0,,1,,,
3013,SAUVAGE,Mochila piel de ALBERTINI ( AC1971045 ).,2018-04-13 11:55:13.540145,2018-04-14 09:45:20.763271,54,,,DSCF2551.jpg,image/jpeg,64757,2018-04-13 11:55:11.018452,0,,0,,,
3036,CAROLINA SHOCK,Cartera mano y tira de colgar en piel de la firma BIBA. (CAC2L). Antes: 65 € - Ahora: 45.50 €,2018-04-20 16:03:48.359886,2018-04-20 16:05:57.233493,55,36,1,DSCF8051.jpg,image/jpeg,57396,2018-04-20 16:03:43.898416,1,,0,,,
3018,SAUVGE,Bolso de mano con bandolera para colgar de ALBERTINI ( AC19700 ),2018-04-13 11:58:46.664372,2018-04-14 11:56:31.275318,54,,,DSCF2565.jpg,image/jpeg,59779,2018-04-13 11:58:44.125157,0,,0,,,
3037,SOBRE SOLAPA,Cartera-sobre en piel de la firma GALLARDO. (6401000OU). Antes: 70 € - Ahora: 49 €,2018-04-20 16:45:36.09091,2018-04-20 16:45:36.09091,59,36,1,DSCF8052.jpg,image/jpeg,59076,2018-04-20 16:45:32.37664,1,,0,,,
2644,CATS,Bolso en piel con asas de mano y tira larga de CATS  (16011).,2017-10-17 17:23:40.887778,2018-03-23 16:49:08.132385,10,36,1,DSCF2323.jpg,image/jpeg,61957,2017-10-17 17:23:40.283242,0,,1,,,
2845,CAROLINA SHOCK,Carteras en piel con tira para colgar de la firma BIBA ( crs2l ) ( crs1l ).,2018-02-07 16:15:13.285641,2018-02-07 16:50:42.445967,55,36,1,DSCF2460.jpg,image/jpeg,64831,2018-02-07 16:15:09.969929,0,,1,,,
2847,DALLAS PYTON,Bolso mochila en piel con tapa grabada en pyton de BIBA ( dap1l ).,2018-02-07 16:16:03.492269,2018-02-07 16:53:05.646672,55,36,1,DSCF2463.jpg,image/jpeg,57853,2018-02-07 16:16:00.543271,0,,1,,,
2848,JUNEAU SUMMER,Bolso en piel con asas de mano y tira larga de BIBA ( jus3l ).,2018-02-07 16:58:49.723164,2018-02-07 17:02:46.004868,55,36,1,DSCF2468.jpg,image/jpeg,65864,2018-02-07 16:58:46.617979,0,,1,,,
2961,DYNAMO,Malata-spinner grande de SAMSONITE con expansible. (80d000005). Antes: 159 € - Ahora: 111.30 €,2018-03-20 18:56:43.351219,2018-03-20 18:59:32.436568,3,7,3,DSCF7957.jpg,image/jpeg,59343,2018-03-20 18:56:42.47074,1,,0,,,
2755,TAMBORA,Bolso-maletín en eco-piel de la firma CAMINATTA. (A2044082OU). Antes: 64 € - Ahora: 38.40 €,2018-01-27 19:48:26.966614,2018-01-27 19:50:21.376328,17,37,1,DSCF7431.jpg,image/jpeg,64905,2018-01-27 19:48:25.854052,1,,0,,,
3016,SAVAGE,Bolso serraje de la firma ALBERTINI ( AC1932015 ),2018-04-13 11:57:37.217579,2018-04-13 18:02:22.665327,54,36,1,DSCF2560.jpg,image/jpeg,61476,2018-04-13 11:57:35.14145,0,,1,,,
2956,DYNAMO,Maleta-trolley cabina de la firma SAMSONITE con cremallera expandible. (80d000002). Antes: 129 € - Ahora: 90.30 €,2018-03-20 18:06:47.820438,2018-03-20 18:15:49.42095,3,7,3,DSCF7952.jpg,image/jpeg,59683,2018-03-20 18:06:45.032667,1,,0,,,
